document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,343,Mr Fube (Chilubi),Minister of Community Development and Social Services,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a)    whether the Government has any plans to restructure the distribution of fertilizer under the Food Security Pack Programme in wetland areas; (b)     if so, whether the use of cooperatives, as an economically viable channel, will be considered; and (c)    which constituencies are earmarked for the implementation of the exercise. 8. QUESTION FOR WRITTEN ANSWER (STANDING ORDER 81) W5. Mr Chewe (Lubansenshi) - to ask the Minister of Mines and Minerals Development: (a)  how many mines, countrywide, were extracting the following minerals as of December, 2023: (i) copper; (iv) manganese; (ii) gold; (v) cobalt; and (iii) emerald; (vi) diamond; (b) how much revenue was generated from the mining sector from December, 2021 to December, 2023, year by year; (c)     how much money, in percentage terms, the sector contributed to the Gross Domestic Product (GDP) in the period above; (d)     whether the Government has any plans to open new mines; and (e)     if so, when the plans will be implemented. ___________________________",9
"Thursday, 13th July, 2023",https://www.parliament.gov.zm/node/11128,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,371,Mr Chewe (Lubansenshi),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to implement youth empowerment programmes in timber processing in Lubansenshi Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) how many youths are earmarked for empowerment in 2023.",3
"Thursday, 13th July, 2023",https://www.parliament.gov.zm/node/11128,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,372,Mr Kamondo (Mufumbwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a modern market and a bus station in Mufumbwe Parliamentary Constituency; and (b) if so, when the plans will be implemented.",2
"Thursday, 13th July, 2023",https://www.parliament.gov.zm/node/11128,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,373,Mr Mukosa (Chinsali),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when the water reticulation project in Chinsali District will be completed; (b) when the project commenced; (c) when the contractor was last paid; (d) what the outstanding balance was, as of September, 2022; and (e) when the outstanding balance will be paid.",5
"Thursday, 13th July, 2023",https://www.parliament.gov.zm/node/11128,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,374,Mr Mukumbi (Solwezi West),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when the Government will construct the following infrastructure in Kalumbila District: (i) a police station; (ii) residential houses for the police officers; (iii) a national registration office; and (iv) police posts in all the chiefdoms in the District; and (b) if so, when the plans will be implemented. NOTICE OF MOTION Hon Kasune Adopt Report of the Parliamentary Reforms and Modernisation Committee: That this House do adopt the Report of the Parliamentary Reforms and Modernisation Committee, for the Second Session of the Thirteenth National Assembly, laid on the Table of the House on Thursday, 29th June, 2023.",3
"Wednesday, 11th October, 2023",https://www.parliament.gov.zm/node/11361,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,90,Mr Tayengwa (Kabwata),Minister of Defence,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the construction of staff houses at Buffalo Park in Kabwata Parliamentary Constituency has stalled; and (b) when the project will resume. 91. Mr E Tembo (Feira) - to ask theMinister of Water Development and Sanitation: (a) whether the Government has any plans to extend the Integrated Small Towns Water Supply and Sanitation Project to Luangwa District in order to ensure increased provision of piped water; and (b) if so, when the plans will be implemented.",4
"Wednesday, 11th October, 2023",https://www.parliament.gov.zm/node/11361,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,92,Mr Simuzingili (Gwembe),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) who the funders of the Zambia University College of Technology in Ndola District are; (b) whether the Government has any plans to start funding the institution; and (c) when the Government will operationalise the institution to full capacity in order to provide for the digitalisation agenda and capacity building for public service workers. NOTICE OF MOTION Mr Chibombwe Formulate Policy to Regulate the Operations of Dumpsites: That, in order to protect the environment and underground water from pollution, this House urges the Government to formulate policy to regulate dumpsites. ORDER OF THE DAY 1. Supply - Motion (29th September) - Resumption of Debate:  (MrHamwaata, MP) ___________________________",3
"Thursday, 11th February, 2021",https://www.parliament.gov.zm/node/8749,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,131,Mr Simbao (Senga Hill),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the tarring of the Lunte-Zakaria-Senga Hill road will commence; (b) what has caused the delay in commencing the project; and (c) what the time frame for the completion of the project is.,3
"Thursday, 11th February, 2021",https://www.parliament.gov.zm/node/8749,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,132,Ms Tambatamba (Kasempa),Minister of Community Development and Social Welfare,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government rendered any form of support to the pupils at Kasempa School for the Disabled, as of July, 2020; (b) if so, what form of support was rendered; (c) if no support was rendered, why; and (d) what measures are being taken to ensure that the pupils at the School are supported. PRESENTATION OF GOVERNMENT BILLS The Minister of Finance The Public-Private Partnership (Amendment) - Bill to amend the Public-Private Partnership Act. (N.A.B. 4/2021) The Minister of Justice The Compensation Fund (Amendment) - Bill to amend the Compensation Fund Act.(N.A.B. 6/2021) The Minister of Justice The Service Commissions (Amendment) - Bill to amend the Service Commissions Act.(N.A.B. 12/2021) The Minister of Foreign Affairs The Zambia Institute of Diplomacy and International Studies (Amendment) - Bill to amend the Zambia Institute of Diplomacy and International Studies Act. (N.A.B. 14/2021) The Minister of Finance The Zambia Revenue Authority (Amendment) - Bill to amend the Zambia Revenue Authority Act.(N.A.B.15/2021) The Minister of Justice The Zambia Institute of Advanced Legal Education (Amendment) -  Bill to amend the Zambia Institute of Advanced Legal Education Act.(N.A.B. 16/2021) The Minister of Justice The Zambia Law Development Commission (Amendment) - Bill to amend the Zambia Law Development Commission Act.               (N.A.B. 17/2021) _____________________",4
"Friday, 19th October, 2018",https://www.parliament.gov.zm/node/7724,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,73,Mr Muchima (Ikeleng’i),Minister of Tourism and Arts,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 31),"(a) which company has been awarded the contract to cull hippos in the Luangwa River in 2018; (b) whether the culling will impact the tourism industry in the country; (c) if so, what the impact is; (d) whether the Government has any plans to cancel the contract in order to preserve the tourism industry; and (e) whether the Government has culled hippos in the past.",5
"Friday, 19th October, 2018",https://www.parliament.gov.zm/node/7724,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,74,Mr Bulaya (Mpongwe),Vice President,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 31),"(a) how many households were displaced in Mpongwe and Masaiti Parliamentary Constituencies in order to pave way for the construction of the Kafulafuta Dam; (b) whether the Government has any plans to allocate land for farming in the 2018/2019 farming season to the people who were displaced; and (c) if there are no such plans, why. ORDER OF THE DAY 1 Estimates of Revenue and Expenditure (Including Capital and Constitutional and Statutory Expenditure): Committee of Supply. Heads 01/01, 01/02, 02/01, 02/03, 02/04, 02/05, 02/06, 19/1901 19/1902 and 19/1903, - for consideration. KEY TO HEADS OF EXPENDITURE Head 01 - Office of the President - State House Head 02 - Office of the Vice-President Head 19 - Disaster Management and Mitigation Unit ___________________________",3
"Tuesday, 20th April, 2021",https://www.parliament.gov.zm/node/8937,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,161,Mr Kangombe (Sesheke),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the construction of Yeta School of Nursing will commence; (b) who the contractor for the project is; (c) what the total cost of the project is; and (d) what the time frame for the completion of the project is.,4
"Tuesday, 20th April, 2021",https://www.parliament.gov.zm/node/8937,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,162,Mr Mutale (Chitambo),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the Government will upgrade salary scales for teachers in Chitambo Parliamentary Constituency who had upgraded their qualifications as of December, 2020; and (b) when teachers who have been acting in the following positions will be confirmed: (i) head teacher; (ii) deputy head teacher; and (iii) senior teacher.",3
"Tuesday, 20th April, 2021",https://www.parliament.gov.zm/node/8937,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,163,Ms Chisangano (Gwembe),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many health posts, under the 650 Health Posts Project, had been completed, countrywide, as of February, 2021; (b) how many health posts were completed in Gwembe Parliamentary Constituency, as of the same date; (c) if no health post had been completed in Gwembe, why; (d) whether there are any plans to commence construction works in Gwembe in 2021; (e) if so, how many health posts are earmarked for construction; and (f) what the time frame for the completion of the 650 Health Posts Project is.",6
"Tuesday, 20th April, 2021",https://www.parliament.gov.zm/node/8937,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,164,Mr Simbao (Senga Hill),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many metric tonnes of copper were produced, countrywide, from 2012 to 2019, year by year; (b) what challenges hampered the mines from producing above one million metric tonnes per year; (c) when is copper production expected to reach one million metric tonnes per year; and (d) what the size of each copper slag dump in the following Districts was, as of July, 2020: (i) Solwezi; (ii) Mufulira; (iii) Chingola; and (iv) Chililabombwe.",5
"Friday, 23rd June, 2023",https://www.parliament.gov.zm/node/11084,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,305,Mr. J Daka (Chadiza),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the tarring of township roads in Chadiza District has stalled; (b) when the project will resume; (c) what the cost of the project is; (d) how much money had been paid to the contractor, as of June, 2022; and (e) what the time frame for the completion of the project is.",5
"Friday, 23rd June, 2023",https://www.parliament.gov.zm/node/11084,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,306,Mr. Kamondo (Mufumbwe),Vice President,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the construction of the youth resettlement scheme in Mufumbwe Parliamentary Constituency has stalled; (b) when the project will resume; (c) what the size of the scheme is; (d) what facilities will be provided at the scheme; (e) how many youths are targeted to occupy the scheme; and (f) what the social and economic benefits of the scheme are.,6
"Friday, 23rd June, 2023",https://www.parliament.gov.zm/node/11084,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,307,Mr. Mukosa (Chinsali),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the progress on the resolution of the conflict between the community and the investor at Kasenseli Gold Mine in Mwinilunga District is; and (b) when the Mine will be re-opened for operations. NOTICE OF MOTION Mr. Mubika Adopt Report of the Committee on Transport, Works and Supply: That this House do adopt the Report of the Committee on Transport, Works and Supply on the Operations and Management of Zambia Airways - Challenges and Opportunities, for the Second Session of the Thirteenth National Assembly, laid on the Table of the House on Friday, 16th June, 2023. ____________________________",2
"Tuesday, 20th February, 2024",https://www.parliament.gov.zm/node/11586,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,212,Mr Tayengwa (Kabwata),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct mini stadia in all provincial centres; (b) if so, what the total cost of the project is; and (c) what the estimated time frame for the completion of the project is.",3
"Tuesday, 20th February, 2024",https://www.parliament.gov.zm/node/11586,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,213,Mr Mutelo (Mitete),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government is aware that some police officers who were transferred on promotion to Mitete District between 2021 and 2023, had not reported for duty in the District as of July, 2023; and (b) if so, what measures are being taken to ensure that the officers start working in the District.",2
